,Programming Fundamentals,,
Topics,MCQs,True/False Questions:,Descriptive Questions:
Variables and Data Types,d,t,A variable in programming is a named container that can hold a value. It allows programmers to store and manipulate data. For example in Python we can declare a variable named age and assign it a value like 25: age = 25.
Variables and Data Types,b,t, A variable can hold different values during program execution and its value can be changed while a constant represents a fixed value that does not change throughout the program.
Variables and Data Types,c,t,In most programming languages a variable is declared by specifying its name and optionally its data type. For example in C++ you can declare an integer variable named num as follows: int num
Variables and Data Types,b,t,The scope of a variable refers to the part of the program where the variable is accessible. It determines where and how long a variable can be used. Variables can have local scope (limited to a specific block or function) or global scope (accessible throughout the entire program).
Variables and Data Types,c,f,Common rules for naming variables include using descriptive names starting with a letter or underscore avoiding reserved keywords and using camel case or underscores to separate words.
Control Structures,d,t,The while loop checks the condition before executing the loop body while the do-while loop checks the condition after executing the loop body. This means that the do-while loop always executes the loop body at least once even if the condition is false.
Control Structures,c,t,The switch statement is used to select one of many code blocks to execute based on the value of an expression. It evaluates the expression and compares it with the values of the case labels. When a match is found the corresponding code block is executed. The break statement is used to exit the switch statement after a match.
Control Structures,c,f,A for loop is typically used when the number of iterations is known in advance and it consists of three parts: initialization condition and increment/decrement. The initialization step is executed only once at the beginning the condition is checked before each iteration and the increment/decrement step is executed at the end of each iteration. In contrast a while loop is used when the number of iterations is not known in advance. It only checks the condition before each iteration and does not have a separate initialization or increment/decrement step.
Control Structures,c,t,Nested control structures refer to the situation where one control structure is placed within another control structure. For example we can have an if statement nested inside a while loop. This allows for more complex decision-making and repetition patterns in a program.
Control Structures,b,t,Some common mistakes include forgetting to include necessary curly braces or indentation leading to incorrect code blocks being executed. Another mistake is using assignment operator (=) instead of the equality operator (==) in conditions. 
Functions,c,f,A function parameter is a variable declared in the function definition that represents a value to be passed into the function. An argument on the other hand is the actual value that is passed into the function when it is called. In simple terms a parameter is a placeholder and an argument is the actual value that fills that placeholder.
Functions,c,f,In most programming languages a function is defined by providing a function name a set of parameters (optional) and the function body.
Functions,c,t,The return statement is used to end the execution of a function and return a value (if specified) to the caller. It allows the function to provide an output that can be stored or used for further calculations. On the other hand the print statement is used to display output on the screen or console
Functions,c,t,A void function often used in languages like C/C++ is a function that does not return any value. Instead of using a return statement the function simply executes its code and then terminates. Void functions are typically used when the function is intended to perform some action or task without needing to return a value.
Functions,a,f,In most programming languages an array can be passed as a parameter to a function by specifying the array name as the parameter along with the appropriate data type.
,Object Oriented Programming,,
Topics,MCQs,True/False Questions:,Descriptive Questions:
Classes and Objects,a,t,A class is a user-defined data type that encapsulates data and functions into a single unit called an object.
Classes and Objects,c,t,Object-oriented programming (OOP) is a programming paradigm that organizes data and behavior into reusable structures called classes and objects. It promotes the concepts of encapsulation inheritance and polymorphism.
Classes and Objects,b,t,Member functions can be defined outside the class declaration by using the scope resolution operator (::) with the class name and function name.
Classes and Objects,a,t,Private members are only accessible within the class itself protected members are accessible within the class and its derived classes and public members can be accessed from anywhere.
Classes and Objects,c,f,'A constructor is a special member function of a class that is automatically called when an object of the class is created. It is used to initialize the object''s data members.'
Inheritance,b,t,Inheritance is a feature of object-oriented programming that allows a class to inherit properties and behaviors from another class known as the base class or parent class.
Inheritance,b,f,C++ supports multiple types of inheritance: single inheritance (a derived class inherits from a single base class) multiple inheritance (a derived class inherits from multiple base classes) hierarchical inheritance (multiple derived classes inherit from a single base class) and hybrid inheritance (a combination of multiple and hierarchical inheritance).
Inheritance,b,f,Access specifiers (public private protected) in inheritance determine the visibility of the base class members in the derived class. Public inheritance allows public and protected members to be accessible protected inheritance allows protected members to be accessible and private inheritance hides all base class members.
Inheritance,b,t,Function overriding is a feature in inheritance where a derived class provides its own implementation of a function that is already present in the base class. The function signatures must match and the derived class function is invoked when called through an object of the derived class.
Inheritance,a,f,The virtual keyword is used to define a virtual function in a base class. When a derived class overrides the virtual function the virtual keyword ensures that the most derived function is called based on the actual type of the object rather than the declared type of the pointer or reference.
Polymorphism,c,f,Compile-time polymorphism (static polymorphism) is resolved at compile-time based on the types of objects and function calls. Runtime polymorphism (dynamic polymorphism) is resolved at runtime based on the actual type of the object.
Polymorphism,a,t,Function overloading is a feature of C++ that allows multiple functions with the same name but different parameters to coexist in the same scope. The compiler selects the appropriate function based on the number types and order of arguments in the function call.
Polymorphism,c,t,Function overriding occurs when a derived class provides its own implementation of a function that is already present in the base class. It enables dynamic method dispatch where the actual function called is determined at runtime based on the type of the object.
Polymorphism,a,f,An abstract class is a class that cannot be instantiated and is used as a base class for other classes. It contains at least one pure virtual function which must be overridden by derived classes.
Polymorphism,a,f,Runtime polymorphism can be achieved through inheritance and virtual functions.
,Introduction To Computing,,
Topics,MCQs,True/False Questions:,Descriptive Questions:
Variables and Data Types,d,t,int is used to store integer values while double is used to store floating-point values.
Variables and Data Types,c,t,By using the const keyword before the variable declaration.
Variables and Data Types,c,t,It returns the size of a variable or data type in bytes.
Variables and Data Types,c,f,By providing an initial value during the variable declaration.
Variables and Data Types,d,t,It can store values from -128 to 127.
Control Structures and Loops,d,t,It allows selective execution of code based on a condition.
Control Structures and Loops,c,t,The for loop provides a compact way to specify initialization condition and update in a single line.
Control Structures and Loops,c,f,It allows the program to select and execute different blocks of code based on different cases.
Control Structures and Loops,a,t,By using the break statement.
Control Structures and Loops,a,f,The do-while loop always executes at least once while the while loop may not execute if the condition is initially false.
Functions and Modular Programming,d,t,A function is a block of code that performs a specific task.
Functions and Modular Programming,c,t,By specifying the return type function name and parameter list (if any).
Functions and Modular Programming,c,t,Function overloading is the ability to define multiple functions with the same name but different parameter lists.
Functions and Modular Programming,c,t,By using a pointer or by specifying the array size in the function parameter.
Functions and Modular Programming,b,t,A function declaration declares the existence and signature of a function while a function definition provides the actual implementation of the function.
,Data Structures,,
Topics,MCQs,True/False Questions:,Descriptive Questions:
Linked Lists in C++,c,f,A linked list is a data structure in which each element known as a node contains a value and a reference to the next node.
Linked Lists in C++,a,t,Linked lists can dynamically grow or shrink in size have efficient insertions and deletions at any position and do not require contiguous memory allocation.
Linked Lists in C++,d,t,In a singly linked list each node contains a value and a reference to the next node. Traversal is possible only in a forward direction.
